csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Alhambra,Alhambra,City of Alhambra,34.08395998,-118.1355054,19,0,1,1,4,1,4,8,0,0,0,17,0,2,0,0,19,0,0,19,0,5
Altadena,Unincorporated,Unincorporated - Altadena,34.19348215,-118.1356718,20,0,0,0,3,1,7,9,0,0,0,0,16,3,1,0,20,0,0,20,0,13
Artesia,Artesia,City of Artesia,33.86757664,-118.0806299,235,9,3,6,50,1,64,101,1,0,0,5,53,74,68,35,233,2,0,235,0,112
Athens-Westmont,Unincorporated,Unincorporated - Athens-Westmont,33.93403128,-118.3024838,82,0,1,0,44,2,16,19,0,0,15,3,7,13,23,21,66,16,35,47,1,4
Bassett,Unincorporated,Unincorporated - Bassett,34.0571444,-117.9774063,81,1,0,7,7,0,20,46,0,0,0,5,20,30,20,6,81,0,0,81,0,38
Bell,Bell,City of Bell,33.98005806,-118.179784,303,7,3,9,99,5,56,123,1,0,0,8,76,102,84,33,302,1,0,303,0,108
Bellflower,Bellflower,City of Bellflower,33.88801979,-118.127136,181,5,1,2,23,3,65,81,1,0,29,23,35,53,33,8,140,41,87,94,0,29
Boyle Heights,Los Angeles,Los Angeles - Boyle Heights,34.03814773,-118.2053304,970,23,7,10,377,16,134,394,9,4,230,32,224,199,204,77,596,374,578,392,6,71
Burbank,Burbank,City of Burbank,34.1878976,-118.3234899,83,0,1,1,30,0,15,34,2,0,11,52,7,6,4,3,66,17,32,51,0,25
Canoga Park,Los Angeles,Los Angeles - Canoga Park,34.20809561,-118.60083,72,0,0,2,13,1,34,21,1,0,0,1,12,22,23,14,72,0,0,72,0,13
Carthay,Los Angeles,Los Angeles - Carthay,34.07124054,-118.3728937,110,3,0,1,54,0,30,22,0,0,0,0,11,33,36,30,110,0,0,110,0,24
Central,Los Angeles,Los Angeles - Central,34.01639853,-118.2581412,61,0,0,1,39,1,4,16,0,0,7,9,14,16,15,0,52,9,41,20,0,1
Century City,Los Angeles,Los Angeles - Century City,34.05271484,-118.4193992,205,4,1,5,73,4,86,31,1,0,0,4,15,54,75,57,204,1,0,205,0,78
Century Palms/Cove,Los Angeles,Los Angeles - Century Palms/Cove,33.93264106,-118.267985,185,17,1,0,128,1,2,35,1,1,94,25,38,13,12,2,41,144,16,169,0,18
Cheviot Hills,Los Angeles,Los Angeles - Cheviot Hills,34.04127711,-118.4088008,141,4,1,2,54,1,54,24,1,0,0,1,19,47,39,35,141,0,0,141,0,17
Chinatown,Los Angeles,Los Angeles - Chinatown,34.06145983,-118.2409687,161,5,0,4,69,2,32,48,1,0,0,2,30,43,53,33,160,1,0,161,0,39
Cloverdale/Cochran,Los Angeles,Los Angeles - Cloverdale/Cochran,34.03894103,-118.3560074,94,4,1,1,48,0,19,21,0,0,0,9,35,31,15,4,94,0,0,94,0,40
Commerce,Commerce,City of Commerce,33.99634406,-118.1519116,37,0,0,0,15,1,11,9,1,0,0,0,4,14,16,3,37,0,0,37,0,0
Compton,Compton,City of Compton,33.89293695,-118.2275295,68,0,0,1,48,0,7,12,0,0,9,3,18,20,16,2,54,14,0,68,0,15
Covina,Covina,City of Covina,34.09026449,-117.8818201,7,1,0,0,0,0,0,6,0,0,5,0,2,0,0,0,0,7,0,7,0,3
Crenshaw District,Los Angeles,Los Angeles - Crenshaw District,34.02305658,-118.3358765,50,1,3,0,15,0,8,23,0,0,30,3,12,4,1,0,4,46,0,50,0,24
Crestview,Los Angeles,Los Angeles - Crestview,34.04959498,-118.3786575,40,2,0,0,22,2,0,14,0,0,19,3,9,7,2,0,7,33,0,40,0,14
Culver City,Culver City,City of Culver City,34.00579664,-118.3968069,78,2,0,0,50,1,4,20,1,0,42,9,19,7,1,0,9,69,0,78,0,33
Del Rey,Los Angeles,Los Angeles - Del Rey,33.98976373,-118.4243119,43,0,0,1,15,1,15,11,0,0,0,0,6,11,19,7,42,1,43,0,2,0
Downey,Downey,City of Downey,33.93786052,-118.1311495,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,2,0,0
Downtown,Los Angeles,Los Angeles - Downtown,34.04472376,-118.2578043,2349,75,20,29,1057,50,535,574,9,3,52,138,481,824,632,219,2256,93,751,1598,28,420
Duarte,Unincorporated,Unincorporated - Duarte,34.12409018,-117.9932886,39,0,0,1,10,0,9,19,0,0,0,1,8,20,10,0,39,0,0,39,0,23
Eagle Rock,Los Angeles,Los Angeles - Eagle Rock,34.13520689,-118.2052091,27,2,0,0,7,0,4,14,0,0,0,0,9,7,8,3,27,0,0,27,0,15
East Los Angeles,Unincorporated,Unincorporated - East Los Angeles,34.03267163,-118.1691862,72,0,0,2,7,0,4,59,0,3,39,7,12,6,4,1,10,62,72,0,0,0
East Rancho Dominguez,Unincorporated,Unincorporated - East Rancho Dominguez,33.8948561,-118.195596,49,1,1,1,12,1,10,23,0,0,0,0,9,12,17,11,49,0,0,49,0,13
Echo Park,Los Angeles,Los Angeles - Echo Park,34.08217654,-118.2550011,115,2,1,0,18,1,7,86,0,1,51,14,20,20,6,3,22,93,26,89,0,7
El Monte,El Monte,City of El Monte,34.07394729,-118.0290743,98,1,0,0,18,2,26,50,1,2,11,3,21,17,27,17,84,14,11,87,4,20
El Segundo,El Segundo,City of El Segundo,33.91689825,-118.402004,107,4,0,0,86,0,9,8,0,0,0,1,20,33,42,11,106,1,0,107,0,15
Exposition,Los Angeles,Los Angeles - Exposition,34.02662391,-118.3497778,85,3,0,2,48,0,17,15,0,0,0,0,10,18,39,18,83,2,27,58,13,14
Exposition Park,Los Angeles,Los Angeles - Exposition Park,34.01859955,-118.2979186,194,2,1,3,128,2,21,36,1,0,0,17,67,66,35,9,191,3,62,132,1,72
Figueroa Park Square,Los Angeles,Los Angeles - Figueroa Park Square,33.93255929,-118.286739,5,0,0,0,1,0,2,2,0,0,0,0,0,1,4,0,5,0,0,5,0,0
Florence-Firestone,Los Angeles,Los Angeles - Florence-Firestone,33.97489626,-118.2673756,121,1,0,1,88,1,6,24,0,0,20,20,26,32,18,5,94,27,78,43,0,8
Florence-Firestone,Unincorporated,Unincorporated - Florence-Firestone,33.96813644,-118.2446288,23,0,0,0,0,5,0,18,0,0,15,0,6,2,0,0,3,20,0,23,0,0
Glendale,Glendale,City of Glendale,34.18192389,-118.2467993,21,0,0,0,6,0,7,8,0,0,0,0,0,0,13,8,21,0,0,21,0,18
Gramercy Place,Los Angeles,Los Angeles - Gramercy Place,33.95126665,-118.3094095,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0
Granada Hills,Los Angeles,Los Angeles - Granada Hills,34.29105295,-118.5041496,89,6,0,3,17,0,31,31,1,0,0,3,19,29,22,16,89,0,0,89,0,35
Green Meadows,Los Angeles,Los Angeles - Green Meadows,33.95073337,-118.2631438,28,0,1,1,19,0,4,3,0,0,0,0,0,0,19,9,28,0,0,28,0,8
Hacienda Heights,Unincorporated,Unincorporated - Hacienda Heights,34.00010691,-117.978306,297,13,1,6,47,10,72,146,2,1,5,6,73,114,66,32,287,10,0,297,0,82
Harbor Gateway,Los Angeles,Los Angeles - Harbor Gateway,33.86647713,-118.2946644,126,3,1,1,64,1,36,19,1,0,0,5,15,19,59,28,126,0,95,31,3,8
Harvard Heights,Los Angeles,Los Angeles - Harvard Heights,34.04358242,-118.3046444,48,1,1,0,26,1,6,13,0,0,0,2,17,14,14,1,48,0,20,28,0,14
Harvard Park,Los Angeles,Los Angeles - Harvard Park,33.98185888,-118.2980161,300,5,0,1,227,3,18,41,5,0,16,60,65,66,73,20,268,32,24,276,0,119
Hawthorne,Hawthorne,City of Hawthorne,33.91464836,-118.3476948,13,1,0,0,10,0,1,1,0,0,0,13,0,0,0,0,13,0,0,13,0,4
Historic Filipinotown,Los Angeles,Los Angeles - Historic Filipinotown,34.07024541,-118.2710765,272,11,1,7,148,3,25,76,1,1,83,74,37,30,31,16,131,141,0,272,0,66
Hollywood,Los Angeles,Los Angeles - Hollywood,34.10030166,-118.3538584,598,22,7,18,265,14,130,136,6,0,48,262,102,115,58,13,538,60,197,401,4,124
Hollywood Hills,Los Angeles,Los Angeles - Hollywood Hills,34.12051629,-118.3463646,27,0,0,3,7,1,6,10,0,0,3,0,7,14,3,0,25,2,27,0,0,0
Hyde Park,Los Angeles,Los Angeles - Hyde Park,33.98308248,-118.328048,40,1,0,1,21,4,4,8,1,0,0,16,12,6,5,1,38,2,0,40,0,0
Inglewood,Inglewood,City of Inglewood,33.9565274,-118.3444722,260,3,1,5,178,3,45,25,0,0,0,4,52,59,104,41,260,0,0,260,0,41
Jefferson Park,Los Angeles,Los Angeles - Jefferson Park,34.02425004,-118.3227686,21,15,0,1,2,0,0,3,0,0,0,0,10,5,4,2,21,0,0,21,0,11
Koreatown,Los Angeles,Los Angeles - Koreatown,34.05458833,-118.3043457,289,7,4,6,164,4,63,40,1,0,21,8,38,105,74,43,260,29,120,169,1,22
Lakeview Terrace,Los Angeles,Los Angeles - Lakeview Terrace,34.27465021,-118.3739795,8,0,0,0,0,0,3,5,0,0,0,1,3,2,2,0,8,0,0,8,0,2
Lancaster,Lancaster,City of Lancaster,34.69346453,-118.17534,633,19,4,5,269,13,181,140,2,1,33,74,162,180,143,40,584,49,303,330,8,179
Lawndale,Lawndale,City of Lawndale,33.8884623,-118.3531559,303,16,5,2,121,1,88,68,2,0,0,9,61,89,94,50,303,0,0,303,0,84
Leimert Park,Los Angeles,Los Angeles - Leimert Park,34.00603323,-118.3245302,83,2,0,2,60,0,8,11,0,0,0,8,28,27,15,5,81,2,0,83,0,45
Lincoln Heights,Los Angeles,Los Angeles - Lincoln Heights,34.08115569,-118.2053647,116,1,0,2,54,0,13,46,0,0,46,2,31,13,16,8,53,63,115,1,1,0
Little Bangladesh,Los Angeles,Los Angeles - Little Bangladesh,34.06537767,-118.3003769,56,1,0,1,27,1,8,17,1,0,0,1,13,13,13,16,55,1,0,56,0,10
Little Tokyo,Los Angeles,Los Angeles - Little Tokyo,34.04699403,-118.2415978,476,5,5,10,283,8,78,85,2,1,7,8,97,208,126,29,465,11,413,63,21,15
Lomita,Lomita,City of Lomita,33.79331148,-118.3174553,60,2,1,1,26,0,19,11,0,0,0,4,8,16,18,14,60,0,0,60,0,2
Long Beach,Long Beach,City of Long Beach,33.8055515,-118.161013,398,23,5,1,194,3,114,58,0,1,31,17,78,104,116,51,347,51,15,383,0,138
Los Feliz,Los Angeles,Los Angeles - Los Feliz,34.13174773,-118.2996704,155,4,1,6,54,0,40,50,0,1,0,13,30,50,46,15,155,0,0,155,0,113
Lynwood,Lynwood,City of Lynwood,33.92395381,-118.2016634,10,0,0,0,9,0,0,1,0,0,0,1,2,4,1,2,10,0,10,0,0,0
Melrose,Los Angeles,Los Angeles - Melrose,34.08272474,-118.3345861,55,1,0,2,20,1,12,18,1,0,0,53,2,0,0,0,55,0,0,55,0,3
Monterey Park,Monterey Park,City of Monterey Park,34.04970836,-118.13253,264,13,0,10,37,3,73,126,2,0,0,6,37,92,79,50,262,2,0,264,0,83
North Hills,Los Angeles,Los Angeles - North Hills,34.23873883,-118.4782178,160,4,1,5,62,7,14,67,0,3,66,61,21,9,0,0,69,91,109,51,5,17
North Hollywood,Los Angeles,Los Angeles - North Hollywood,34.19000374,-118.3907645,477,16,2,6,135,4,162,149,3,0,45,29,106,155,109,33,409,68,77,400,0,213
Norwalk,Norwalk,City of Norwalk,33.90686916,-118.0828834,413,22,10,4,94,4,101,176,2,0,0,27,82,136,110,58,412,1,35,378,1,166
Pacoima,Los Angeles,Los Angeles - Pacoima,34.26572279,-118.416768,363,21,1,4,84,11,89,151,2,0,93,26,86,99,54,5,239,124,186,177,2,58
Palmdale,Palmdale,City of Palmdale,34.59445426,-118.1057001,250,13,4,0,133,1,48,46,5,1,30,13,72,73,42,19,200,50,0,250,0,223
Panorama City,Los Angeles,Los Angeles - Panorama City,34.22429627,-118.4446,36,0,0,1,13,0,18,4,0,0,0,0,0,0,32,4,36,0,36,0,3,0
Park La Brea,Los Angeles,Los Angeles - Park La Brea,34.0697309,-118.3556274,82,4,0,2,35,2,15,23,1,0,0,2,27,24,24,5,82,0,0,82,0,40
Pasadena,Pasadena,City of Pasadena,34.15974967,-118.1389067,6,0,0,1,1,0,1,3,0,0,0,5,0,1,0,0,6,0,1,5,0,1
Pico-Union,Los Angeles,Los Angeles - Pico-Union,34.04576201,-118.2804905,92,2,0,2,29,0,16,43,0,0,14,9,17,15,12,25,70,22,24,68,0,39
Pomona,Pomona,City of Pomona,34.05847892,-117.7625986,523,11,4,4,127,13,123,238,3,5,83,21,113,148,112,41,402,121,179,344,2,86
Rancho Park,Los Angeles,Los Angeles - Rancho Park,34.03645754,-118.4291142,29,1,0,0,12,0,11,5,0,1,1,0,6,10,6,5,27,2,0,29,0,9
Reseda,Los Angeles,Los Angeles - Reseda,34.19892566,-118.5385712,146,5,1,0,25,3,78,34,0,0,0,4,27,45,46,24,146,0,0,146,0,23
Rosemead,Rosemead,City of Rosemead,34.06888099,-118.0822729,158,5,0,6,31,0,45,70,1,0,0,5,35,59,38,21,157,1,0,158,0,20
Rowland Heights,Unincorporated,Unincorporated - Rowland Heights,33.96744377,-117.8718376,97,3,0,0,13,0,40,40,1,0,0,4,13,30,30,20,97,0,0,97,0,9
San Pedro,Los Angeles,Los Angeles - San Pedro,33.73668302,-118.2846816,531,13,7,9,188,11,104,189,10,1,133,37,119,107,95,39,321,210,41,490,0,224
Santa Clarita,Santa Clarita,City of Santa Clarita,34.41747888,-118.4964757,227,11,2,6,55,0,105,46,2,3,0,15,47,82,61,19,226,1,0,227,0,106
Santa Fe Springs,Santa Fe Springs,City of Santa Fe Springs,33.93304314,-118.0625123,13,0,0,0,2,1,0,10,0,0,4,1,5,2,1,0,6,7,0,13,0,3
Santa Monica,Santa Monica,City of Santa Monica,34.02305151,-118.4818147,1812,40,9,23,719,79,647,290,5,89,226,53,277,664,392,111,1487,325,1196,616,2,49
Sherman Oaks,Los Angeles,Los Angeles - Sherman Oaks,34.1524197,-118.4390705,137,8,1,2,33,1,39,52,1,0,0,8,38,58,26,7,137,0,0,137,0,97
Signal Hill,Signal Hill,City of Signal Hill,33.80300457,-118.1682682,62,2,1,3,14,0,18,24,0,0,0,1,8,20,22,11,62,0,0,62,0,13
Silverlake,Los Angeles,Los Angeles - Silverlake,34.0957007,-118.2702422,266,0,1,8,107,9,55,84,2,0,26,7,56,96,61,20,218,48,145,121,2,4
South Park,Los Angeles,Los Angeles - South Park,33.99971616,-118.2742966,184,5,1,4,95,4,31,41,3,1,0,24,94,41,22,2,184,0,25,159,3,42
South Whittier,Unincorporated,Unincorporated - South Whittier,33.93362577,-118.0311912,51,2,0,0,21,0,12,16,0,0,0,1,9,12,20,9,51,0,0,51,0,21
Studio City,Los Angeles,Los Angeles - Studio City,34.13744075,-118.3892054,208,0,3,5,42,6,111,41,0,0,0,3,55,73,59,18,208,0,0,208,0,208
Sun Valley,Los Angeles,Los Angeles - Sun Valley,34.22752699,-118.3554797,91,1,1,1,8,0,62,18,0,0,0,11,18,27,31,4,91,0,52,39,0,0
Sylmar,Los Angeles,Los Angeles - Sylmar,34.31309724,-118.4471528,80,6,0,4,17,1,24,27,1,0,3,2,22,34,16,3,76,4,0,80,0,52
Temple-Beaudry,Los Angeles,Los Angeles - Temple-Beaudry,34.06982571,-118.2677393,469,15,2,12,224,7,76,129,4,3,62,48,89,131,94,42,383,86,454,15,4,0
Torrance,Torrance,City of Torrance,33.83461927,-118.341636,39,0,0,0,19,0,6,13,1,0,0,4,16,7,9,3,38,1,0,39,0,9
Tujunga,Los Angeles,Los Angeles - Tujunga,34.25112908,-118.2884962,41,1,0,0,8,1,25,6,0,0,0,1,4,17,16,3,41,0,41,0,2,0
University Park,Los Angeles,Los Angeles - University Park,34.02799153,-118.2788351,250,4,1,2,137,1,36,68,1,0,0,5,62,73,81,29,250,0,0,250,0,96
Valley Village,Los Angeles,Los Angeles - Valley Village,34.1634608,-118.395153,27,4,0,1,4,0,6,12,0,0,0,2,13,1,9,2,27,0,0,27,0,0
Van Nuys,Los Angeles,Los Angeles - Van Nuys,34.20103175,-118.4627957,670,12,5,5,189,15,280,164,0,1,12,16,146,265,174,56,655,15,148,522,4,212
Venice,Los Angeles,Los Angeles - Venice,33.99379127,-118.4620668,308,3,3,1,134,5,72,90,0,2,97,29,51,77,37,15,143,165,20,288,2,47
Vermont Knolls,Los Angeles,Los Angeles - Vermont Knolls,33.96825542,-118.2947766,18,1,0,1,12,0,1,3,0,0,3,1,7,5,2,0,14,4,0,18,0,0
Vermont Square,Los Angeles,Los Angeles - Vermont Square,33.99937601,-118.2980432,131,2,0,1,91,1,16,20,0,0,1,8,52,34,27,9,127,4,0,131,0,63
Vermont Vista,Los Angeles,Los Angeles - Vermont Vista,33.95432578,-118.2820684,268,10,1,3,153,3,19,78,1,0,57,24,93,59,27,8,179,89,2,266,1,105
Vernon Central,Los Angeles,Los Angeles - Vernon Central,34.0003959,-118.2515649,136,3,0,2,94,1,15,20,1,0,2,76,18,24,13,3,133,3,0,136,0,80
Victoria Park,Los Angeles,Los Angeles - Victoria Park,34.04400033,-118.3246197,53,0,0,2,31,1,15,4,0,0,0,0,10,24,16,3,53,0,50,3,3,0
Watts,Los Angeles,Los Angeles - Watts,33.9404512,-118.2411486,232,4,0,1,125,2,5,90,5,0,155,14,40,23,0,0,18,214,232,0,0,0
Wellington Square,Los Angeles,Los Angeles - Wellington Square,34.03581451,-118.3334917,53,2,0,0,30,1,8,12,0,0,0,16,13,15,8,1,53,0,0,53,0,11
West Covina,West Covina,City of West Covina,34.05542103,-117.9112842,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0
West Hollywood,West Hollywood,City of West Hollywood,34.08827817,-118.3717658,16,0,0,0,9,0,6,1,0,0,0,3,0,5,4,4,16,0,16,0,1,0
West LA,Unincorporated,Unincorporated - West LA,34.05729113,-118.456949,580,16,3,15,269,8,199,67,3,0,0,19,112,159,176,114,579,1,115,465,19,117
West Vernon,Los Angeles,Los Angeles - West Vernon,34.0001143,-118.3001922,510,14,6,7,317,8,57,100,1,0,25,84,149,131,100,21,472,38,60,450,5,178
West Whittier/Los Nietos,Unincorporated,Unincorporated - West Whittier/Los Nietos,33.97660826,-118.0689079,163,3,0,1,30,0,38,91,0,0,0,5,35,59,39,25,162,1,0,163,0,68
Westchester,Los Angeles,Los Angeles - Westchester,33.95235678,-118.4060716,29,3,0,1,17,0,3,5,0,0,0,1,6,8,6,8,29,0,0,29,0,0
Westlake,Los Angeles,Los Angeles - Westlake,34.05720825,-118.272224,1825,138,12,87,718,28,406,427,9,5,86,98,506,588,381,161,1701,124,437,1388,40,577
Westwood,Los Angeles,Los Angeles - Westwood,34.06593062,-118.4381374,250,10,1,4,126,4,48,56,1,0,80,10,51,54,38,17,133,117,0,250,0,90
Whittier,Whittier,City of Whittier,33.96784241,-118.0187989,477,68,9,4,17,6,127,244,2,1,21,34,129,170,102,20,448,29,0,477,0,161
Wholesale District,Los Angeles,Los Angeles - Wholesale District,34.0415439,-118.2331075,4014,118,29,59,2308,78,605,803,14,104,16,150,964,1591,980,209,3983,31,2070,1944,59,353
Willowbrook,Unincorporated,Unincorporated - Willowbrook,33.91657678,-118.2515062,195,0,0,0,117,11,11,55,1,0,80,11,36,33,26,9,72,123,195,0,0,0
Wilmington,Los Angeles,Los Angeles - Wilmington,33.78586905,-118.2532768,132,2,3,3,46,0,29,49,0,0,0,1,26,48,43,14,132,0,0,132,0,132
Wilshire Center,Los Angeles,Los Angeles - Wilshire Center,34.06837587,-118.295338,134,2,0,5,61,4,5,57,0,0,79,30,18,6,1,0,18,116,120,14,1,0
Winnetka,Los Angeles,Los Angeles - Winnetka,34.2131086,-118.575929,66,3,0,4,21,2,19,17,0,0,0,2,2,2,29,31,66,0,66,0,1,0
Woodland Hills,Los Angeles,Los Angeles - Woodland Hills,34.16635056,-118.6045201,52,2,0,1,12,0,21,16,0,0,0,1,15,17,15,4,52,0,0,52,0,21
