Latitude,Longitude,City,Community,ProjectName,Q1Enrollments,Q2Enrollments,Q3Enrollments
34.01537602,-118.49816,Santa Monica,Santa Monica,Homeless Program HACLA Section 8,2,NULL,1
33.96431401,-118.277918,Los Angeles,Florence,Family Emergency Housing Program,1,6,2
34.093923,-118.331165,Los Angeles,Hollywood,CA0994 Housing Works Home First,17,20,1
34.05455399,-117.751251,Pomona,Pomona,CA0462 Shelter Plus Care,16,3,1
33.999395,-118.278531,Los Angeles,South Park,Broadway Apartments,NULL,3,1
33.97993901,-118.300441,Los Angeles,Harvard Park,CA0997 Epworth Apartments,NULL,NULL,NULL
34.07737402,-118.290689,Los Angeles,East Hollywood,La Kretz Villas,2,NULL,1
34.23186734,-118.4540925,Panorama City,Panorama City,CA0347 Willis Avenue Apartments,NULL,3,3
34.06396,-118.268351,Los Angeles,Westlake,Bonnie Brae Village,NULL,NULL,NULL
34.04783807,-118.2454958,Los Angeles,Downtown,LA Residence LAHSA - Supportive Services,NULL,1,NULL
34.03923598,-118.243991,Los Angeles,Downtown,CA0409 Lamp Lodge - Supportive Services,NULL,NULL,2
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Crisis Housing Program P2H,4,32,2
34.17084402,-118.375527,North Hollywood,North Hollywood,NoHo Senior Villas,NULL,NULL,NULL
34.10257199,-118.322214,Los Angeles,Hollywood,Villas at Gower,NULL,1,NULL
34.04694499,-118.248092,Los Angeles,Downtown,New Genesis Apartments,NULL,NULL,1
34.57924102,-118.124382,Palmdale,Palmdale,AVD FSC Rapid Re-Housing,179,53,2
34.15824501,-118.133439,Pasadena,Pasadena,USHS FSC Rapid Re-Housing,34,5,2
33.99796001,-118.477857,Venice,Venice,STJ FSC Rapid Re-housing,46,10,NULL
34.046006,-118.246125,Los Angeles,Downtown,Emergency Transitions Program,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,LFH FSC Rapid Re-Housing,136,69,10
34.01537602,-118.49816,Santa Monica,Santa Monica,CA0401 Permanent Supportive Housing,NULL,2,NULL
34.06798201,-118.27383,Los Angeles,Westlake,Housing for Health,2,NULL,1
34.06402999,-118.291446,Los Angeles,Koreatown,CA0324 Good Samaritan Bonus,5,3,1
34.26109934,-118.3999285,Los Angeles,Pacoima,CA0374 Osborne Place Apartments - Supportive Services,1,NULL,6
34.01723801,-118.257257,Los Angeles,Historic South-Central,28th Street Apartments,NULL,NULL,NULL
34.058711,-118.27519,Los Angeles,Westlake,Parkview on the Park Apartments,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,DHS Housing for Health,5,33,2
34.07748101,-118.289011,Los Angeles,East Hollywood,Housing for Health,NULL,16,10
34.04283824,-118.2434449,Los Angeles,Downtown,HAUS,10,3,NULL
34.04354499,-118.247583,Los Angeles,Downtown,Star Apartments,4,6,4
34.04384699,-118.244336,Los Angeles,Downtown,CA0996 Gateway Apartments,2,5,1
34.04449802,-118.244318,Los Angeles,Downtown,CA0430 Golden West Permanent Housing Program,2,5,2
34.03845802,-118.243914,Los Angeles,Downtown,Ford Apartments,5,3,3
34.07748101,-118.289011,Los Angeles,East Hollywood,HACLA Tenant Based Supportive Housing TBSH,NULL,NULL,NULL
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Crisis Housing,40,47,15
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC FSC Rapid Re-Housing,65,43,NULL
33.73503098,-118.291423,San Pedro,San Pedro,HIS FSC Rapid Re-Housing,24,5,NULL
34.040065,-118.320932,Los Angeles,Arlington Heights,PAT FSC Rapid Re-Housing,112,51,1
33.99550001,-118.438134,Culver City,Culver City,UBH FSC Crisis Housing SPA 5,2,21,7
34.04652401,-118.264109,Los Angeles,Downtown,DMH Interim Housing Zahn,4,5,NULL
33.96811101,-118.283025,Los Angeles,Vermont Knolls,CRCD Apartments,NULL,NULL,1
34.220701,-118.489005,Van Nuys,Van Nuys,CA1110 HACLA Shelter Plus Care Program,NULL,NULL,NULL
34.70143999,-118.13771,Lancaster,Lancaster,SSVF RRH,51,67,16
34.04664802,-118.208936,Los Angeles,Boyle Heights,SSVF RRH,145,88,63
34.09611399,-118.311945,Los Angeles,Hollywood,SSVF RRH,149,196,101
34.05011402,-118.257697,Los Angeles,Downtown,SSVF RRH,22,47,13
34.218184,-118.369551,Sun Valley,Sun Valley,Freehab,NULL,NULL,NULL
34.04664802,-118.208936,Los Angeles,Boyle Heights,VASH Program,23,2,NULL
34.23084101,-118.367805,Sun Valley,Sun Valley,DHS Palo Verde Apartments,2,NULL,1
34.04686699,-118.249017,Los Angeles,Downtown,PBV Rosslyn Apartments,NULL,4,8
34.27119206,-118.4171668,Pacoima,Pacoima,Winter Shelter Program Pacoima SPA 2,12,58,10
33.95736101,-118.277967,Los Angeles,Broadway-Manchester,CES Crisis Housing Program C4L,NULL,28,NULL
33.91222199,-118.264927,Los Angeles,Willowbrook,CA1104 Avalon Apartments,NULL,NULL,NULL
33.96003601,-118.415816,Los Angeles,Westchester/Playa,Measure H 205 Pathways to Independence A,NULL,2,NULL
34.03472502,-118.1616742,Los Angeles,East Los Angeles,Measure H 204 Pathways to Independence B,3,5,1
33.76961698,-118.192008,Long Beach,Long Beach,SSVF RRH LB,NULL,2,NULL
33.76627302,-118.1914,Long Beach,Long Beach,SSVF RRH 20CA017,76,150,54
34.04887199,-118.227871,Los Angeles,Boyle Heights,Womens Shelter Program,NULL,NULL,NULL
34.013654,-118.489091,Santa Monica,Santa Monica,DMH Interim Housing Samoshel,2,2,1
34.01278999,-118.27611,Los Angeles,Historic South-Central,Exodus Reserve Beds,2,6,NULL
34.04411899,-118.245439,Los Angeles,Downtown,Housing For Health Access Emergency,6,6,4
34.04283824,-118.2434449,Los Angeles,Downtown,CES Bridge Housing Program Reserved Village,1,NULL,NULL
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Bridge Housing Program Reserved,2,13,NULL
34.21256552,-118.3889442,Los Angeles,Sun Valley,CES Bridge Housing Program Path to Home Reserved,1,6,2
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Bridge Housing Hollywood Reserved,2,NULL,NULL
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Crisis Housing Program Los Angeles,1,NULL,NULL
33.98934409,-118.1639331,Bell,Bell,CES Bridge Housing Program Reserved,1,5,2
33.99045901,-118.309132,Los Angeles,Chesterfield Square,CES Crisis Housing Program CITY,8,20,1
34.1749543,-118.3172747,Burbank,Burbank,CES Transitional Housing Program Hope of the Valley SPA 2,5,7,NULL
33.92454021,-118.254409,Los Angeles,Green Meadows,CA0466 South Central Access Center - Supportive Services,1,NULL,1
34.15824501,-118.133439,Pasadena,Pasadena,USHS Housing For Health,22,4,2
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,CA0465 Shelter Plus Care,NULL,NULL,NULL
34.03675498,-118.436977,Los Angeles,West Los Angeles,WLA Harm Reduction,NULL,NULL,NULL
34.02235102,-118.199398,Los Angeles,Boyle Heights,Beswick Guy Gabaldon,2,1,NULL
34.07303898,-118.029404,El Monte,El Monte,El Monte Veterans Village,2,1,1
34.05240741,-118.4584795,Los Angeles,Veterans Administration,Sepulveda 1 - PSH,NULL,1,2
34.01465299,-118.490351,Santa Monica,Santa Monica,DHS Step Up on Colorado,3,NULL,NULL
34.01537602,-118.49816,Santa Monica,Santa Monica,DHS Scattered Sites,18,18,12
34.01537602,-118.49816,Santa Monica,Santa Monica,DMH Step Up on Second Bonus,NULL,2,6
34.01537602,-118.49816,Santa Monica,Santa Monica,DHS Step Up on Second Bonus,NULL,NULL,2
34.06040699,-118.281667,Los Angeles,Westlake,DMH Gettlove Bonus,NULL,NULL,NULL
34.06040699,-118.281667,Los Angeles,Westlake,DHS Gettlove Bonus,NULL,NULL,NULL
34.06798201,-118.27383,Los Angeles,Westlake,DMH Homeless Healthcare LA Bonus,NULL,NULL,NULL
34.06798201,-118.27383,Los Angeles,Westlake,DHS Homeless Healthcare LA Bonus,NULL,NULL,NULL
33.98825201,-118.268678,Los Angeles,Florence,DMH SSG HOPICS Bonus,2,NULL,NULL
33.98825201,-118.268678,Los Angeles,Florence,DHS SSG HOPICS Bonus,NULL,NULL,NULL
33.99796001,-118.477857,Venice,Venice,DMH St Joseph Bonus,1,NULL,NULL
33.99796001,-118.477857,Venice,Venice,DHS St Joseph Bonus,NULL,NULL,NULL
34.04338498,-118.24419,Los Angeles,Downtown,DMH LAMP Bonus,NULL,NULL,NULL
34.04338498,-118.24419,Los Angeles,Downtown,DHS LAMP Bonus,NULL,NULL,NULL
33.76961698,-118.192008,Long Beach,Long Beach,DHS Mental Health America Bonus,NULL,NULL,NULL
33.76961698,-118.192008,Long Beach,Long Beach,DMH Mental Health America Bonus,NULL,NULL,NULL
34.04464399,-118.243403,Los Angeles,Downtown,DMH Downtown Womens Center Bonus,6,3,3
34.04464399,-118.243403,Los Angeles,Downtown,DHS Downtown Womens Center Bonus,NULL,1,2
34.21335502,-118.388056,North Hollywood,Sun Valley,DMH LA Family Housing Bonus,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,DHS LA Family Housing Bonus,NULL,NULL,NULL
34.04338498,-118.24419,Los Angeles,Downtown,DMH OPCC Bonus,NULL,NULL,3
34.04338498,-118.24419,Los Angeles,Downtown,DHS OPCC Bonus,NULL,NULL,NULL
33.99870102,-118.417385,Los Angeles,Del Rey,Villas Del Rey,NULL,1,1
33.883203,-118.291173,Los Angeles,Harbor Gateway North and South,Vermont Villas,3,3,NULL
34.05240741,-118.4584795,Los Angeles,Veterans Administration,Sepulveda 2 - VASH,NULL,NULL,NULL
34.05240741,-118.4584795,Los Angeles,Veterans Administration,HCHV 257 Bridge Welcome Center,16,17,NULL
34.07748101,-118.289011,Los Angeles,East Hollywood,CA1343 PATH Gateway Connections,1,NULL,2
34.05635799,-118.282481,Los Angeles,Westlake,The Six Apartments,1,1,NULL
34.06402999,-118.291446,Los Angeles,Koreatown,HACLA Tenant Based Supportive Housing TBSH 2012,NULL,NULL,NULL
34.04244902,-118.24485,Los Angeles,Downtown,Winter Shelter Program SPA 4,34,83,13
33.88860732,-118.228869,Compton,Compton,CA1335 South Los Angeles Rapid Re-Housing,13,8,18
33.73593698,-118.289973,San Pedro,San Pedro,CES RRH Individuals,3,3,NULL
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,Everychild Family Housing,NULL,NULL,NULL
34.21335502,-118.388056,North Hollywood,Sun Valley,CES RRH Individuals,4,5,NULL
34.0436689,-118.2443345,Los Angeles,Downtown,CES RRH Individuals SPA 4,58,1,NULL
33.98825201,-118.268678,Los Angeles,Florence,CES RRH Individuals,15,11,NULL
33.99796001,-118.477857,Venice,Venice,CES RRH Individuals SPA 5,37,1,NULL
33.92454021,-118.254409,Los Angeles,Green Meadows,CES RRH Individuals WLCAC,5,2,NULL
33.98141401,-118.334619,Los Angeles,Hyde Park,CES RRH Individuals Sanctuary of Hope,3,2,NULL
33.92829162,-118.309209,Los Angeles,Athens-Westmont,CES RRH Individuals Shields for Families,8,NULL,NULL
34.04464399,-118.243403,Los Angeles,Downtown,CES RRH Individuals Downtown Women Center SPA 4,9,16,NULL
34.065046,-118.264708,Los Angeles,Westlake,CES RRH Individuals Good Shepherd SPA 4,13,1,NULL
34.212684,-118.387996,North Hollywood,Sun Valley,LFH FSC Crisis Housing SPA 2,120,290,66
34.0591085,-118.2501454,Los Angeles,Downtown,HJC LFH,NULL,NULL,NULL
34.15824501,-118.133439,Pasadena,Pasadena,HJC USF,NULL,NULL,NULL
34.0591085,-118.2501454,Los Angeles,Downtown,HJC LAM,NULL,NULL,NULL
33.99796001,-118.477857,Venice,Venice,HJC STJ,NULL,NULL,NULL
34.0591085,-118.2501454,Los Angeles,Downtown,HJC SSG,NULL,NULL,NULL
34.0591085,-118.2501454,Los Angeles,Downtown,HJC PAT,NULL,NULL,NULL
34.0591085,-118.2501454,Los Angeles,Downtown,HJC MLC,NULL,NULL,NULL
33.99146002,-118.443704,Marina Del Rey,Del Rey,Gateway Apartments,NULL,1,1
34.093226,-118.338414,Los Angeles,Hollywood,CES RRH Individuals LGBT SPA 4,12,NULL,NULL
34.09941499,-118.334468,Los Angeles,Hollywood,CES RRH Individuals Center Blessed Sacrament SPA 4,4,NULL,NULL
33.89594102,-118.197602,Compton,East Rancho Dominguez,DHS Interim Housing SOLAR,11,13,1
33.966852,-118.309166,Los Angeles,Manchester Square,CES RRH Individuals Home At Last,1,NULL,NULL
33.73633102,-118.291633,San Pedro,San Pedro,Rapid Re-Housing Families SPA 8,3,11,8
34.05240741,-118.4584795,Los Angeles,Veterans Administration,CES Crisis Housing Program,2,2,NULL
34.05240741,-118.4584795,Los Angeles,Veterans Administration,Burbank Bungalows,NULL,NULL,NULL
34.02415401,-118.181804,Los Angeles,East Los Angeles,First 5 Whittier Apartments,3,NULL,NULL
34.31015018,-118.4369476,Sylmar,Sylmar,Supportive Housing and Education Initiative Bromont,NULL,NULL,NULL
34.02415401,-118.181804,Los Angeles,East Los Angeles,Whittier Place Apartments,NULL,NULL,NULL
34.20086099,-118.585199,Winnetka,Winnetka,Winnetka Village,3,1,2
34.21335502,-118.388056,North Hollywood,Sun Valley,SPA 2 Welcome Home Project,NULL,NULL,NULL
33.94357802,-118.010861,Whittier,Whittier,CA1219 Shelter Plus Care,NULL,NULL,NULL
34.09715502,-118.120065,Alhambra,Alhambra,ILP SPA 3 Athena Homes,NULL,4,NULL
34.21256552,-118.3889442,Los Angeles,Sun Valley,DMH Interim Housing,6,14,2
33.98825201,-118.268678,Los Angeles,Florence,CA1339 SPA 6 CES HACLA,NULL,NULL,NULL
34.10267798,-118.332095,Los Angeles,Hollywood,Selby Hotel,3,1,NULL
34.06450398,-118.265015,Los Angeles,Westlake,Farley Family Transitional Housing,2,6,16
34.19280699,-118.378666,North Hollywood,North Hollywood,ILP SPA 2 Womens Care Cottage,2,4,NULL
34.07214899,-118.279691,Los Angeles,Westlake,ILP SPA 4 Bogen Family Center,3,7,2
34.03923598,-118.243991,Los Angeles,Downtown,CA0408 Lodge Supportive Housing Program,NULL,NULL,NULL
33.95177602,-118.248603,Los Angeles,Watts,CA0923 Watts Labor Community Action Center Mc Coy Plaza,NULL,NULL,NULL
34.044014,-118.246421,Los Angeles,Downtown,Sec 8 PBV Carlton Hotel,NULL,NULL,NULL
34.04421898,-118.244928,Los Angeles,Downtown,Sec 8 PBV James Wood Apartments,NULL,1,1
34.043805,-118.245643,Los Angeles,Downtown,Sec 8 PBV Renato Apartments,NULL,1,1
34.02229901,-118.275113,Los Angeles,Historic South-Central,GPD VA Clinical Treatment Hope Harbor,NULL,4,NULL
34.03574098,-118.267872,Los Angeles,Downtown,New Carver Apartments,3,5,4
33.94138401,-118.299705,Los Angeles,Athens-Westmont,CA1218 HACoLA Shelter Plus Care,NULL,2,NULL
34.06798201,-118.27383,Los Angeles,Westlake,CA1047 HACoLA Shelter Plus Care,NULL,NULL,NULL
34.70143999,-118.13771,Lancaster,Lancaster,CA0742 Mental Health America,1,8,NULL
34.01629396,-118.2717183,Los Angeles,Historic South-Central,36th Street Apartments,NULL,2,2
34.05261501,-118.222927,Los Angeles,Boyle Heights,CES Transitional Housing Program Casa Olivares Youth,NULL,1,NULL
33.92419624,-118.0640329,Norwalk,Norwalk,CA0345 Birch Grove Homes,NULL,1,5
33.83004698,-118.302286,Los Angeles,Harbor Gateway North and South,CA0386 Harbor Gateway Homes,NULL,NULL,NULL
34.102128,-118.319414,Los Angeles,Hollywood,The Way In Youth Transitional Housing,3,6,4
33.99458001,-118.466179,Venice,Venice,STJ FSC Westminster TLC Venice Community Housing Crisis Housing,5,16,4
33.73593698,-118.289973,San Pedro,San Pedro,CES RRH Youth,2,2,NULL
34.672399,-118.127542,Lancaster,Lancaster,CES RRH Individuals,23,7,NULL
34.672399,-118.127542,Lancaster,Lancaster,CES RRH Youth,5,NULL,NULL
34.095419,-118.309407,Los Angeles,Hollywood,CES RRH Youth,44,5,NULL
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES RRH Individuals SPA 6,3,8,NULL
33.96475598,-118.308836,Los Angeles,Manchester Square,CES Crisis Housing Program NDC,NULL,1,NULL
34.07748101,-118.289011,Los Angeles,East Hollywood,CES RRH Individuals SPA 4,17,4,NULL
33.90859458,-118.0761439,Norwalk,Norwalk,CES RRH Youth SPA 7,NULL,NULL,NULL
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,TWC Cities,2,NULL,NULL
34.03675498,-118.436977,Los Angeles,West Los Angeles,CES RRH Individuals SPA 5,NULL,NULL,NULL
33.97210901,-118.045552,Whittier,Whittier,CES RRH Individuals SPA 7,5,NULL,NULL
33.99796001,-118.477857,Venice,Venice,CES RRH Youth SPA 5,24,2,NULL
34.00358901,-118.309696,Los Angeles,Vermont Square,CES Crisis Housing Program,13,19,4
33.97210901,-118.045552,Whittier,Whittier,CES Bridge Housing Program,NULL,1,4
33.95327999,-118.373747,Inglewood,Inglewood,CES Crisis Housing Program,3,2,NULL
34.09115399,-118.337113,Los Angeles,Hollywood,CES Crisis Housing Program Youth,2,3,NULL
33.98934409,-118.1639331,Bell,Bell,CES Crisis Housing Program Bell,2,2,1
34.102128,-118.319414,Los Angeles,Hollywood,CES Crisis Housing Way In Youth,NULL,5,1
34.04224701,-118.24597,Los Angeles,Downtown,CES Crisis Housing Program,1,54,2
34.194434,-118.41396,Los Angeles,Valley Glen,CES RRH Youth,23,NULL,NULL
34.02607698,-118.47029,Santa Monica,Santa Monica,CES RRH Individuals SPA 5,9,NULL,NULL
34.083821,-117.752071,Pomona,Pomona,CES Crisis Housing Program SPA 3,NULL,NULL,1
34.04244902,-118.24485,Los Angeles,Downtown,CES Crisis Housing Program,2,6,1
33.99045901,-118.309132,Los Angeles,Chesterfield Square,CES Crisis Housing Program TCLC,7,25,3
34.00358901,-118.309696,Los Angeles,Vermont Square,Rapid Re-Housing SPA 6,5,8,5
34.09115399,-118.337113,Los Angeles,Hollywood,CES Rapid Re-Housing Youth,NULL,NULL,NULL
33.88697301,-118.206808,Compton,Compton,CoC Rapid Re-Housing Families,NULL,NULL,NULL
34.08796099,-118.02806,El Monte,El Monte,CoC Rapid ReHousing All,1,NULL,NULL
33.99796001,-118.477857,Venice,Venice,Rapid Re-Housing Youth Venice,3,NULL,NULL
33.99796001,-118.477857,Venice,Venice,Rapid Re-Housing Winter Shelter Part SPA 5,38,5,176
33.96093799,-118.278722,Los Angeles,Florence,CES RRH Individuals SPA 6,18,1,NULL
34.095419,-118.309407,Los Angeles,Hollywood,Supportive Apartments,NULL,NULL,1
33.90364101,-118.092557,Norwalk,Norwalk,CA0387 Harvest House,NULL,NULL,NULL
34.23160699,-118.465391,North Hills,North Hills,Rayen Transitional Housing,3,6,NULL
34.05131799,-118.26797,Los Angeles,Westlake,CA0917 Brandon Apartments,2,2,2
33.733495,-118.287751,Los Angeles,Venice,CA0347 California Hotel,1,NULL,3
34.02190502,-118.252006,Los Angeles,Central-Alameda,CA0523 Central Court Apartments,NULL,NULL,NULL
34.05660299,-118.297272,Los Angeles,Koreatown,CA0374 Fedora Apartments,NULL,1,NULL
33.95335002,-118.282484,Los Angeles,Vermont Vista,CA0347 Figueroa Apartments - Supportive Services,1,2,NULL
34.05643401,-118.300126,Los Angeles,Koreatown,CA0383 Fox Normandie Apartments - Supportive Services,3,NULL,NULL
34.091954,-118.322127,Los Angeles,Hollywood,CA0383 Gower Street Apartments - Supportive Services,NULL,2,NULL
34.044834,-118.211952,Los Angeles,Boyle Heights,CA0383 Las Palomas Apartments,1,3,1
34.01625,-118.309081,Los Angeles,Exposition Park,Santos Plaza,NULL,NULL,1
34.06931201,-118.27886,Los Angeles,Westlake,CA0523 Vista Nueva Apartments - Supportive Services,NULL,4,3
33.91762004,-118.2389509,Compton,Willowbrook,CA0915 Willow Apartments,2,NULL,NULL
34.23524901,-118.471043,North Hills,North Hills,CA0916 Woodland Terrace,5,5,4
34.014928,-118.309066,Los Angeles,Exposition Park,CA0331 39 West Apartments,2,1,NULL
34.06231798,-118.306952,Los Angeles,Koreatown,Cornerstone Apartments,NULL,1,NULL
34.020823,-118.186451,Los Angeles,East Los Angeles,CA1157 Las Flores - 2,NULL,NULL,NULL
34.06231798,-118.306952,Los Angeles,Koreatown,La Primavera,1,NULL,1
34.06882402,-118.202683,Los Angeles,Lincoln Heights,Amistad Apartments,NULL,1,NULL
34.05621298,-118.262269,Los Angeles,Westlake,Maryland Apartments,NULL,NULL,1
33.93975901,-118.025506,Whittier,South Whittier,Measure H 187 Pathways to Independence,5,4,5
34.089401,-117.912286,Covina,Covina,McGill Transitional House,NULL,3,NULL
34.20070601,-118.587201,Winnetka,Winnetka,Carriage House,NULL,NULL,NULL
34.03916302,-118.280012,Los Angeles,San Pedro,CES Crisis Housing Program,6,23,1
34.06507198,-118.264443,Los Angeles,Westlake,CES Crisis Housing Program Hawkes,NULL,NULL,NULL
34.21256552,-118.3889442,Los Angeles,Sun Valley,CES Crisis Housing Program Path to Home,NULL,NULL,1
34.04568642,-118.2231283,Los Angeles,Boyle Heights,CES Crisis Housing Program Guadalupe,1,8,2
34.10238901,-118.315035,Los Angeles,Hollywood,CES Crisis Housing Program Hollywood Youth,NULL,NULL,NULL
34.04244902,-118.24485,Los Angeles,Downtown,CES Crisis Housing Program Open Door,11,27,2
33.99550001,-118.438134,Culver City,Culver City,LA County Emergency Shelter,4,11,3
34.04176799,-118.247998,Los Angeles,Downtown,CA1050 Lyndon Apartments,1,7,NULL
34.044631,-118.245523,Los Angeles,Downtown,CA0473 Scattered Sites,8,6,3
33.951723,-118.247761,Los Angeles,Watts,Family Restoration Project at McCoy Plaza,NULL,NULL,NULL
33.94006001,-118.139408,Downey,Downey,Angel Step Too,7,3,5
34.09032161,-117.735724,Pomona,Pomona,CA0435 S. Mark Taper Permanent Housing - Supportive Services,2,NULL,5
33.98934409,-118.1639331,Bell,Bell,Bell Shelter Transitional Housing,NULL,11,2
34.10326702,-118.314435,Los Angeles,Hollywood,CES Crisis Housing Program Taft Youth,2,17,NULL
34.08406601,-118.274574,Los Angeles,Silver Lake,CA1220 Vendome Apartments,2,NULL,1
34.27904001,-118.40401,Pacoima,Pacoima,CA0392 Shelter Plus Care SRA,NULL,NULL,NULL
34.04626299,-118.248705,Los Angeles,Downtown,Sec 8 Mod Rehab Leonide Hotel,1,NULL,NULL
33.733538,-118.28124,Los Angeles,San Pedro,CA0921 Tripp House,NULL,NULL,NULL
34.04014102,-118.301042,Los Angeles,Harvard Heights,CA0420 HACLA Crossroads Village,NULL,NULL,2
34.03923598,-118.243991,Los Angeles,Downtown,CA0407 Lodge Shelter Plus Care,NULL,NULL,NULL
34.00062299,-118.468744,Venice,Venice,Shelter Plus Care Scattered Sites,2,2,2
34.00062299,-118.468744,Venice,Venice,Horizon Apartments,NULL,2,NULL
34.27904001,-118.40401,Pacoima,Pacoima,CA0391 Shelter Plus Care PRA,NULL,2,NULL
34.05324202,-118.260864,Los Angeles,Westlake,CA0798 SSG APCTC TRA Scattered Sites,NULL,NULL,NULL
34.04439299,-118.244012,Los Angeles,Downtown,CA1049 Brownstone Hotel,NULL,2,1
34.04104999,-118.242357,Los Angeles,Downtown,CA0799 Eugene Hotel,2,NULL,1
34.03898499,-118.24407,Los Angeles,Downtown,Sec 8 Mod Rehab New Terminal Hotel,NULL,NULL,1
34.04390701,-118.246521,Los Angeles,Downtown,Sec 8 Mod Rehab Palmer House,NULL,NULL,1
34.03825899,-118.243618,Los Angeles,Downtown,Sec 8 Mod Rehab Prentice Hotel,NULL,1,NULL
34.03686001,-118.241538,Los Angeles,Downtown,Sec 8 Mod Rehab Rivers Hotel General,NULL,1,1
34.04431399,-118.244641,Los Angeles,Downtown,Sec 8 PBV Southern Hotel,NULL,NULL,1
34.04115598,-118.247148,Los Angeles,Downtown,Sec 8 Mod Rehab Yankee Hotel,NULL,2,NULL
34.13111199,-118.030857,Arcadia,Arcadia,CA0792 HACoLA SPC Scattered Sites,2,1,NULL
34.03653399,-118.240569,Los Angeles,Downtown,St Marks Hotel,2,1,8
34.04388002,-118.245282,Los Angeles,Downtown,CA0464 Scattered Sites Apartments 275,2,4,1
34.041476,-118.246387,Los Angeles,Downtown,CA0797 Scattered Sites Apartments 224,3,NULL,2
34.04357999,-118.252189,Los Angeles,Downtown,Dewey Hotel,NULL,NULL,1
34.04908401,-118.245456,Los Angeles,Downtown,CA1216 St. George Hotel 69,3,4,1
34.042891,-118.241456,Los Angeles,Downtown,Edward Hotel,NULL,NULL,NULL
34.04179598,-118.246029,Los Angeles,Downtown,CA1051 Abbey Apartments 45,3,1,2
34.03981702,-118.240976,Los Angeles,Downtown,Sec 8 Mod Rehab Rossmore 27,NULL,NULL,NULL
34.04043799,-118.241041,Los Angeles,Downtown,CA0413 Lincoln Hotel,NULL,1,1
